geography_code,geography,dose,stratum,year,date,coverage_pct
E09000002,Barking and Dagenham,MMR1,24m,2014,2014-03-31,88.09
E09000002,Barking and Dagenham,MMR1,5y,2014,2014-03-31,90.82
E09000002,Barking and Dagenham,MMR1,24m,2015,2015-03-31,89.05
E09000002,Barking and Dagenham,MMR1,5y,2015,2015-03-31,92.23
E09000002,Barking and Dagenham,MMR1,24m,2016,2016-03-31,90.84
E09000002,Barking and Dagenham,MMR1,5y,2016,2016-03-31,94.11
E09000002,Barking and Dagenham,MMR1,24m,2017,2017-03-31,89.52
E09000002,Barking and Dagenham,MMR1,5y,2017,2017-03-31,94.09
E09000002,Barking and Dagenham,MMR1,5y,2018,2018-03-31,94.53
E09000002,Barking and Dagenham,MMR1,24m,2018,2018-03-31,85.13
E09000002,Barking and Dagenham,MMR1,24m,2019,2019-03-31,80.58
E09000002,Barking and Dagenham,MMR1,5y,2019,2019-03-31,92.07
E09000002,Barking and Dagenham,MMR1,5y,2020,2020-03-31,91.05
E09000002,Barking and Dagenham,MMR1,24m,2020,2020-03-31,82.64
E09000002,Barking and Dagenham,MMR1,24m,2021,2021-03-31,78.73
E09000002,Barking and Dagenham,MMR1,5y,2021,2021-03-31,89.56
E09000002,Barking and Dagenham,MMR1,24m,2022,2022-03-31,75.47
E09000002,Barking and Dagenham,MMR1,5y,2022,2022-03-31,86.44
E09000002,Barking and Dagenham,MMR1,24m,2023,2023-03-31,79.04
E09000002,Barking and Dagenham,MMR1,5y,2023,2023-03-31,85.58
E09000002,Barking and Dagenham,MMR1,5y,2024,2024-03-31,82.09
E09000002,Barking and Dagenham,MMR1,24m,2024,2024-03-31,79.5
E09000002,Barking and Dagenham,MMR1,5y,2025,2025-03-31,82.6
E09000002,Barking and Dagenham,MMR1,24m,2025,2025-03-31,79.5
E09000003,Barnet,MMR1,24m,2014,2014-03-31,80.66
E09000003,Barnet,MMR1,5y,2014,2014-03-31,90.72
E09000003,Barnet,MMR1,24m,2015,2015-03-31,79.91
E09000003,Barnet,MMR1,5y,2015,2015-03-31,90.1
E09000003,Barnet,MMR1,24m,2016,2016-03-31,81.77
E09000003,Barnet,MMR1,5y,2016,2016-03-31,88.23
E09000003,Barnet,MMR1,24m,2017,2017-03-31,85.92
E09000003,Barnet,MMR1,5y,2017,2017-03-31,90.99
E09000003,Barnet,MMR1,5y,2018,2018-03-31,90.81
E09000003,Barnet,MMR1,24m,2018,2018-03-31,83.81
E09000003,Barnet,MMR1,24m,2019,2019-03-31,81.87
E09000003,Barnet,MMR1,5y,2019,2019-03-31,89.09
E09000003,Barnet,MMR1,5y,2020,2020-03-31,88.78
E09000003,Barnet,MMR1,24m,2020,2020-03-31,83.38
E09000003,Barnet,MMR1,24m,2021,2021-03-31,82.5
E09000003,Barnet,MMR1,5y,2021,2021-03-31,89.78
E09000003,Barnet,MMR1,24m,2022,2022-03-31,80.2
E09000003,Barnet,MMR1,5y,2022,2022-03-31,87.7
E09000003,Barnet,MMR1,24m,2023,2023-03-31,80.63
E09000003,Barnet,MMR1,5y,2023,2023-03-31,86.29
E09000003,Barnet,MMR1,5y,2024,2024-03-31,85.34
E09000003,Barnet,MMR1,24m,2024,2024-03-31,81.73
E09000003,Barnet,MMR1,5y,2025,2025-03-31,83.8
E09000003,Barnet,MMR1,24m,2025,2025-03-31,81.4
E08000016,Barnsley,MMR1,24m,2014,2014-03-31,96.21
E08000016,Barnsley,MMR1,5y,2014,2014-03-31,97.33
E08000016,Barnsley,MMR1,24m,2015,2015-03-31,96.12
E08000016,Barnsley,MMR1,5y,2015,2015-03-31,97.74
E08000016,Barnsley,MMR1,24m,2016,2016-03-31,95.73
E08000016,Barnsley,MMR1,5y,2016,2016-03-31,98.41
E08000016,Barnsley,MMR1,24m,2017,2017-03-31,96.46
E08000016,Barnsley,MMR1,5y,2017,2017-03-31,98.57
E08000016,Barnsley,MMR1,5y,2018,2018-03-31,98.07
E08000016,Barnsley,MMR1,24m,2018,2018-03-31,96.46
E08000016,Barnsley,MMR1,24m,2019,2019-03-31,95.91
E08000016,Barnsley,MMR1,5y,2019,2019-03-31,97.67
E08000016,Barnsley,MMR1,5y,2020,2020-03-31,98.02
E08000016,Barnsley,MMR1,24m,2020,2020-03-31,95.43
E08000016,Barnsley,MMR1,24m,2021,2021-03-31,94.76
E08000016,Barnsley,MMR1,5y,2021,2021-03-31,97.46
E08000016,Barnsley,MMR1,24m,2022,2022-03-31,94.79
E08000016,Barnsley,MMR1,5y,2022,2022-03-31,96.69
E08000016,Barnsley,MMR1,24m,2023,2023-03-31,94.07
E08000016,Barnsley,MMR1,5y,2023,2023-03-31,96.4
E08000016,Barnsley,MMR1,5y,2024,2024-03-31,95.86
E08000016,Barnsley,MMR1,24m,2024,2024-03-31,94.4
E08000016,Barnsley,MMR1,5y,2025,2025-03-31,96.5
E08000016,Barnsley,MMR1,24m,2025,2025-03-31,95.2
E06000022,Bath and North East Somerset,MMR1,24m,2014,2014-03-31,94.14
E06000022,Bath and North East Somerset,MMR1,5y,2014,2014-03-31,95.92
E06000022,Bath and North East Somerset,MMR1,24m,2015,2015-03-31,94.07
E06000022,Bath and North East Somerset,MMR1,5y,2015,2015-03-31,95.25
E06000022,Bath and North East Somerset,MMR1,24m,2016,2016-03-31,86.91
E06000022,Bath and North East Somerset,MMR1,5y,2016,2016-03-31,96.88
E06000022,Bath and North East Somerset,MMR1,24m,2017,2017-03-31,95.28
E06000022,Bath and North East Somerset,MMR1,5y,2017,2017-03-31,95.7
E06000022,Bath and North East Somerset,MMR1,5y,2018,2018-03-31,96.06
E06000022,Bath and North East Somerset,MMR1,24m,2018,2018-03-31,93.58
E06000022,Bath and North East Somerset,MMR1,24m,2019,2019-03-31,94.62
E06000022,Bath and North East Somerset,MMR1,5y,2019,2019-03-31,97.3
E06000022,Bath and North East Somerset,MMR1,5y,2020,2020-03-31,97.19
