geography_code,region,year,epiweek,date,cases,in_reporting_delay_period
E45000016,East Midlands,2023,39,2023-09-25,1.0,False
E45000016,East Midlands,2023,41,2023-10-09,2.0,False
E45000016,East Midlands,2023,42,2023-10-16,1.0,False
E45000016,East Midlands,2023,45,2023-11-06,1.0,False
E45000016,East Midlands,2024,1,2024-01-01,1.0,False
E45000016,East Midlands,2024,2,2024-01-08,0.0,False
E45000016,East Midlands,2024,3,2024-01-15,5.0,False
E45000016,East Midlands,2024,4,2024-01-22,6.0,False
E45000016,East Midlands,2024,5,2024-01-29,17.0,False
E45000016,East Midlands,2024,6,2024-02-05,16.0,False
E45000016,East Midlands,2024,7,2024-02-12,13.0,False
E45000016,East Midlands,2024,8,2024-02-19,8.0,False
E45000016,East Midlands,2024,9,2024-02-26,5.0,False
E45000016,East Midlands,2024,10,2024-03-04,6.0,False
E45000016,East Midlands,2024,11,2024-03-11,9.0,False
E45000016,East Midlands,2024,12,2024-03-18,15.0,False
E45000016,East Midlands,2024,13,2024-03-25,11.0,False
E45000016,East Midlands,2024,14,2024-04-01,10.0,False
E45000016,East Midlands,2024,15,2024-04-08,8.0,False
E45000016,East Midlands,2024,16,2024-04-15,4.0,False
E45000016,East Midlands,2024,17,2024-04-22,2.0,False
E45000016,East Midlands,2024,18,2024-04-29,10.0,False
E45000016,East Midlands,2024,19,2024-05-06,5.0,False
E45000016,East Midlands,2024,20,2024-05-13,6.0,False
E45000016,East Midlands,2024,21,2024-05-20,10.0,False
E45000016,East Midlands,2024,22,2024-05-27,3.0,False
E45000016,East Midlands,2024,23,2024-06-03,2.0,False
E45000016,East Midlands,2024,24,2024-06-10,2.0,False
E45000016,East Midlands,2024,25,2024-06-17,2.0,False
E45000016,East Midlands,2024,26,2024-06-24,3.0,False
E45000016,East Midlands,2024,27,2024-07-01,1.0,False
E45000016,East Midlands,2024,28,2024-07-08,1.0,False
E45000016,East Midlands,2024,29,2024-07-15,1.0,False
E45000016,East Midlands,2024,30,2024-07-22,1.0,False
E45000016,East Midlands,2024,31,2024-07-29,0.0,False
E45000016,East Midlands,2024,32,2024-08-05,0.0,False
E45000016,East Midlands,2024,33,2024-08-12,1.0,False
E45000016,East Midlands,2024,34,2024-08-19,0.0,False
E45000016,East Midlands,2024,35,2024-08-26,0.0,False
E45000016,East Midlands,2024,36,2024-09-02,1.0,False
E45000016,East Midlands,2024,37,2024-09-09,0.0,False
E45000016,East Midlands,2024,38,2024-09-16,0.0,False
E45000016,East Midlands,2024,39,2024-09-23,0.0,False
E45000016,East Midlands,2024,40,2024-09-30,1.0,False
E45000016,East Midlands,2024,41,2024-10-07,1.0,False
E45000016,East Midlands,2024,42,2024-10-14,0.0,False
E45000016,East Midlands,2024,43,2024-10-21,5.0,False
E45000016,East Midlands,2024,44,2024-10-28,1.0,False
E45000016,East Midlands,2024,45,2024-11-04,3.0,False
E45000016,East Midlands,2024,46,2024-11-11,4.0,False
E45000016,East Midlands,2024,47,2024-11-18,1.0,False
E45000016,East Midlands,2024,48,2024-11-25,4.0,False
E45000016,East Midlands,2024,49,2024-12-02,1.0,False
E45000016,East Midlands,2024,50,2024-12-09,1.0,False
E45000016,East Midlands,2024,51,2024-12-16,2.0,False
E45000016,East Midlands,2024,52,2024-12-23,2.0,False
E45000016,East Midlands,2024,1,2024-12-30,4.0,False
E45000016,East Midlands,2025,2,2025-01-06,2.0,False
E45000016,East Midlands,2025,3,2025-01-13,0.0,False
E45000016,East Midlands,2025,4,2025-01-20,2.0,False
E45000016,East Midlands,2025,5,2025-01-27,0.0,False
E45000016,East Midlands,2025,6,2025-02-03,2.0,False
E45000016,East Midlands,2025,7,2025-02-10,1.0,False
E45000016,East Midlands,2025,8,2025-02-17,1.0,False
E45000016,East Midlands,2025,9,2025-02-24,2.0,False
E45000016,East Midlands,2025,10,2025-03-03,2.0,False
E45000016,East Midlands,2025,11,2025-03-10,2.0,False
E45000016,East Midlands,2025,12,2025-03-17,0.0,False
E45000016,East Midlands,2025,13,2025-03-24,0.0,False
E45000016,East Midlands,2025,14,2025-03-31,0.0,False
E45000016,East Midlands,2025,15,2025-04-07,0.0,False
E45000016,East Midlands,2025,16,2025-04-14,0.0,False
E45000016,East Midlands,2025,17,2025-04-21,0.0,False
E45000016,East Midlands,2025,18,2025-04-28,0.0,False
E45000016,East Midlands,2025,19,2025-05-05,0.0,False
E45000016,East Midlands,2025,20,2025-05-12,1.0,False
E45000016,East Midlands,2025,21,2025-05-19,0.0,False
E45000016,East Midlands,2025,22,2025-05-26,0.0,False
E45000016,East Midlands,2025,23,2025-06-02,0.0,False
E45000016,East Midlands,2025,24,2025-06-09,0.0,False
E45000016,East Midlands,2025,25,2025-06-16,0.0,False
E45000016,East Midlands,2025,26,2025-06-23,0.0,False
E45000016,East Midlands,2025,27,2025-06-30,0.0,False
E45000016,East Midlands,2025,28,2025-07-07,0.0,False
E45000016,East Midlands,2025,29,2025-07-14,0.0,False
E45000016,East Midlands,2025,30,2025-07-21,1.0,False
E45000016,East Midlands,2025,31,2025-07-28,0.0,False
E45000016,East Midlands,2025,32,2025-08-04,0.0,False
E45000016,East Midlands,2025,33,2025-08-11,0.0,False
E45000016,East Midlands,2025,34,2025-08-18,0.0,False
E45000016,East Midlands,2025,35,2025-08-25,0.0,False
E45000016,East Midlands,2025,36,2025-09-01,0.0,False
E45000016,East Midlands,2025,37,2025-09-08,1.0,False
E45000016,East Midlands,2025,38,2025-09-15,0.0,False
E45000016,East Midlands,2025,39,2025-09-22,1.0,False
E45000016,East Midlands,2025,40,2025-09-29,0.0,False
E45000016,East Midlands,2025,41,2025-10-06,1.0,False
E45000016,East Midlands,2025,42,2025-10-13,1.0,False
E45000016,East Midlands,2025,43,2025-10-20,0.0,False
E45000016,East Midlands,2025,44,2025-10-27,0.0,False
E45000016,East Midlands,2025,45,2025-11-03,0.0,False
E45000016,East Midlands,2025,46,2025-11-10,0.0,False
E45000016,East Midlands,2025,47,2025-11-17,0.0,False
E45000016,East Midlands,2025,48,2025-11-24,0.0,False
E45000016,East Midlands,2025,49,2025-12-01,0.0,False
