code,name,year,population
E06000001,Hartlepool,2024,98180
E06000002,Middlesbrough,2024,156161
E06000003,Redcar and Cleveland,2024,139228
E06000004,Stockton-on-Tees,2024,206800
E06000005,Darlington,2024,112489
E06000006,Halton,2024,131543
E06000007,Warrington,2024,215391
E06000008,Blackburn with Darwen,2024,162540
E06000009,Blackpool,2024,144191
E06000010,"Kingston upon Hull, City of",2024,275401
E06000011,East Riding of Yorkshire,2024,355884
E06000012,North East Lincolnshire,2024,159911
E06000013,North Lincolnshire,2024,171336
E06000014,York,2024,209301
E06000015,Derby,2024,274149
E06000016,Leicester,2024,388348
E06000017,Rutland,2024,41443
E06000018,Nottingham,2024,331077
E06000019,"Herefordshire, County of",2024,191047
E06000020,Telford and Wrekin,2024,195952
E06000021,Stoke-on-Trent,2024,270425
E06000022,Bath and North East Somerset,2024,200028
E06000023,"Bristol, City of",2024,494399
E06000024,North Somerset,2024,224578
E06000025,South Gloucestershire,2024,306332
E06000026,Plymouth,2024,272067
E06000027,Torbay,2024,140126
E06000030,Swindon,2024,243875
E06000031,Peterborough,2024,223655
E06000032,Luton,2024,239090
E06000033,Southend-on-Sea,2024,185256
E06000034,Thurrock,2024,180989
E06000035,Medway,2024,292655
E06000036,Bracknell Forest,2024,130806
E06000037,West Berkshire,2024,165112
E06000038,Reading,2024,182907
E06000039,Slough,2024,167359
E06000040,Windsor and Maidenhead,2024,158943
E06000041,Wokingham,2024,187200
E06000042,Milton Keynes,2024,305884
E06000043,Brighton and Hove,2024,283870
E06000044,Portsmouth,2024,214321
E06000045,Southampton,2024,259424
E06000046,Isle of Wight,2024,141660
E06000047,County Durham,2024,538011
E06000049,Cheshire East,2024,421298
E06000050,Cheshire West and Chester,2024,371652
E06000051,Shropshire,2024,332455
E06000052,Cornwall,2024,583289
E06000053,Isles of Scilly,2024,2366
E06000054,Wiltshire,2024,523700
E06000055,Bedford,2024,194976
E06000056,Central Bedfordshire,2024,315877
E06000057,Northumberland,2024,331420
E06000058,"Bournemouth, Christchurch and Poole",2024,408967
E06000059,Dorset,2024,389947
E06000060,Buckinghamshire,2024,578772
E06000061,North Northamptonshire,2024,373871
E06000062,West Northamptonshire,2024,439811
E06000063,Cumberland,2024,280495
E06000064,Westmorland and Furness,2024,230185
E06000065,North Yorkshire,2024,635270
E06000066,Somerset,2024,588328
E08000001,Bolton,2024,310085
E08000002,Bury,2024,198921
E08000003,Manchester,2024,589670
E08000004,Oldham,2024,251560
E08000005,Rochdale,2024,235561
E08000006,Salford,2024,294348
E08000007,Stockport,2024,303929
E08000008,Tameside,2024,239643
E08000009,Trafford,2024,241025
E08000010,Wigan,2024,344922
E08000011,Knowsley,2024,162565
E08000012,Liverpool,2024,508961
E08000013,St. Helens,2024,188861
E08000014,Sefton,2024,286281
E08000015,Wirral,2024,328873
E08000016,Barnsley,2024,251770
E08000017,Doncaster,2024,319765
E08000018,Rotherham,2024,276595
E08000019,Sheffield,2024,582493
E08000021,Newcastle upon Tyne,2024,320605
E08000022,North Tyneside,2024,215025
E08000023,South Tyneside,2024,151393
E08000024,Sunderland,2024,288606
E08000025,Birmingham,2024,1183618
E08000026,Coventry,2024,369026
E08000027,Dudley,2024,331930
E08000028,Sandwell,2024,353860
E08000029,Solihull,2024,221242
E08000030,Walsall,2024,295678
E08000031,Wolverhampton,2024,281251
E08000032,Bradford,2024,563605
E08000033,Calderdale,2024,210929
E08000034,Kirklees,2024,447847
E08000035,Leeds,2024,845189
E08000036,Wakefield,2024,367666
E08000037,Gateshead,2024,202760
E09000001,City of London,2024,15111
E09000002,Barking and Dagenham,2024,232747
E09000003,Barnet,2024,405050
E09000004,Bexley,2024,256434
E09000005,Brent,2024,352976
E09000006,Bromley,2024,335319
E09000007,Camden,2024,216943
E09000008,Croydon,2024,409342
E09000009,Ealing,2024,385985
E09000010,Enfield,2024,327434
E09000011,Greenwich,2024,299528
E09000012,Hackney,2024,266758
E09000013,Hammersmith and Fulham,2024,188687
E09000014,Haringey,2024,263850
E09000015,Harrow,2024,270724
E09000016,Havering,2024,276274
E09000017,Hillingdon,2024,329185
E09000018,Hounslow,2024,299424
E09000019,Islington,2024,223024
E09000020,Kensington and Chelsea,2024,144518
E09000021,Kingston upon Thames,2024,172692
E09000022,Lambeth,2024,316920
E09000023,Lewisham,2024,301255
E09000024,Merton,2024,218539
E09000025,Newham,2024,374523
E09000026,Redbridge,2024,321231
E09000027,Richmond upon Thames,2024,196678
E09000028,Southwark,2024,314786
E09000029,Sutton,2024,214525
E09000030,Tower Hamlets,2024,331886
E09000031,Waltham Forest,2024,279737
E09000032,Wandsworth,2024,337655
E09000033,Westminster,2024,209996
E10000003,Cambridgeshire,2024,710317
E10000007,Derbyshire,2024,822377
E10000008,Devon,2024,842313
E10000011,East Sussex,2024,560882
E10000012,Essex,2024,1563365
E10000013,Gloucestershire,2024,669380
E10000014,Hampshire,2024,1447214
E10000015,Hertfordshire,2024,1236191
E10000016,Kent,2024,1639029
E10000017,Lancashire,2024,1294914
E10000018,Leicestershire,2024,745573
E10000019,Lincolnshire,2024,789502
E10000020,Norfolk,2024,940359
E10000024,Nottinghamshire,2024,857013
E10000025,Oxfordshire,2024,763218
E10000028,Staffordshire,2024,907153
E10000029,Suffolk,2024,786231
E10000030,Surrey,2024,1248649
E10000031,Warwickshire,2024,632207
E10000032,West Sussex,2024,915037
E10000034,Worcestershire,2024,621360
